Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Lamar;County;13038;15956;18317;18194
Lanier;County;5531;7246;10078;10404
Laurens;County;39988;44861;48434;47949
Lee;County;16250;24766;28298;28575
Liberty;County;52745;61661;63453;65451
Lincoln;County;7442;8330;7996;7862
Long;County;6202;10273;14464;15136
Lowndes;County;75981;92121;109233;111885
Lumpkin;County;14573;21041;29966;30031
Macon;County;13114;14041;14740;14405
Madison;County;21050;25705;28120;27921
Marion;County;5590;7133;8742;8746
McDuffie;County;20119;21263;21875;21673
McIntosh;County;8634;10839;14333;14170
Meriwether;County;22411;22546;21992;21617
Miller;County;6280;6368;6125;6141
Mitchell;County;20275;23925;23498;23462
Monroe;County;17113;21751;26424;26625
Montgomery;County;7379;8234;9123;9065
Morgan;County;12883;15499;17868;17961
Murray;County;26147;36501;39628;39557
Muscogee;County;179280;186213;189885;194107
Newton;County;41808;61906;99958;100814
Oconee;County;17618;25772;32808;33366
Oglethorpe;County;9763;12610;14899;14686
Paulding;County;41611;81615;142324;143542
Peach;County;21189;23702;27695;27823
Pickens;County;14432;23022;29431;29415
Pierce;County;13328;15624;18758;18770
Pike;County;10224;13460;17869;17751
Polk;County;33815;38102;41475;41211
Pulaski;County;8108;9604;12010;11735
Putnam;County;14137;18774;21218;21345
Quitman;County;2210;2596;2513;2464
Rabun;County;11648;15035;16276;16274
Randolph;County;8023;7791;7719;7558
Richmond;County;189719;199552;200549;201217
Rockdale;County;54091;70292;85215;85765
Schley;County;3590;3760;5010;5020
Screven;County;13842;15357;14593;14367
Seminole;County;9010;9364;8729;8791
Spalding;County;54457;58461;64073;64033
Stephens;County;23436;25442;26175;25960
Stewart;County;5654;5253;6058;5910
Sumter;County;30232;33228;32819;32511
Talbot;County;6524;6513;6865;6751
Taliaferro;County;1915;2076;1717;1703
Tattnall;County;17722;22314;25520;25688
Taylor;County;7642;8815;8906;8499
Telfair;County;11000;11815;16500;16057
Terrell;County;10653;10963;9315;9319
Thomas;County;38943;42791;44720;44702
Tift;County;34998;38376;40118;41461
Toombs;County;24072;26133;27223;27434
Towns;County;6754;9312;10471;10611
Treutlen;County;5994;6836;6885;6825
Troup;County;55532;58753;67044;67764
Turner;County;8703;9494;8930;8875
Twiggs;County;9806;10601;9023;8779
Union;County;11993;17286;21356;21134
Upson;County;26300;27761;27153;26977
Walker;County;58310;61140;68756;68848
Walton;County;38586;60637;83768;84580
Ware;County;35471;35497;36312;36474
Warren;County;6078;6309;5834;5721
Washington;County;19112;21197;21187;21111
Wayne;County;22356;26571;30099;30327
Webster;County;2263;2390;2799;2791
Wheeler;County;4903;6170;7421;7939
White;County;13006;19976;27144;27273
Whitfield;County;72462;83561;102599;103184
Wilcox;County;7008;8625;9255;9298
Wilkes;County;10597;10706;10593;10211
Wilkinson;County;10228;10202;9563;9444
Worth;County;19744;22029;21679;21921
Hawaii;Federal State;1108229;1211497;1360301;1374810
Hawaii;County;120317;148641;185079;186738
Honolulu;County;836231;876159;953207;963607
Kalawao;County;130;147;90;90
Kauai;County;51177;58460;67091;67701
Maui;County;100374;128090;154834;156674
Idaho;Federal State;1006734;1293957;1567582;1584985
Ada;County;205775;300953;392365;400842
Adams;County;3254;3483;3976;3977
Bannock;County;66026;75562;82839;83691
Bear Lake;County;6084;6418;5986;6001
Benewah;County;7937;9169;9285;9209
Bingham;County;37583;41737;45607;45952
Blaine;County;13552;18994;21376;21199
Boise;County;3509;6644;7028;7025
Bonner;County;26622;36809;40877;40808
Bonneville;County;72207;82545;104234;105772
Boundary;County;8332;9880;10972;10804
Butte;County;2918;2897;2891;2822
Camas;County;727;981;1117;1124
Canyon;County;90076;131452;188923;191694
Caribou;County;6963;7296;6963;6850
Cassia;County;19532;21399;22952;23186
Clark;County;762;1022;982;949
Clearwater;County;8505;8928;8761;8702
Custer;County;4133;4340;4368;4333
Elmore;County;21205;29116;27038;26346
Franklin;County;9232;11333;12786;12850
Fremont;County;10937;11813;13242;13128
Gem;County;11844;15179;16719;16665
Gooding;County;11633;14150;15464;15475
Idaho;County;13768;15506;16267;16446
Jefferson;County;16543;19117;26140;26301
Jerome;County;15138;18401;22374;22682
Kootenai;County;69795;108682;138494;141132
Latah;County;30617;34925;37244;37704
Lemhi;County;6899;7798;7936;7967
Lewis;County;3516;3744;3821;3822
Lincoln;County;3308;4050;5208;5186
Madison;County;23674;27491;37536;37864
Minidoka;County;19361;20155;20069;20155
Nez Perce;County;33754;37418;39265;39543
Oneida;County;3492;4125;4286;4215
Owyhee;County;8392;10644;11526;11438
Payette;County;16434;20584;22623;22624
Power;County;7086;7542;7817;7766
Shoshone;County;13931;13763;12765;12672
Teton;County;3439;6006;10170;10166
Twin Falls;County;53580;64286;77230;78005
Valley;County;6109;7637;9862;9638
Washington;County;8550;9983;10198;10255
Illinois;Federal State;11430602;12419927;12830632;12869257
Adams;County;66090;68261;67103;67159
Alexander;County;10626;9583;8238;8036
Bond;County;14991;17636;17768;17727
Boone;County;30806;41788;54165;54367
Brown;County;5836;6952;6937;6878
Bureau;County;35688;35496;34978;34606
Calhoun;County;5322;5079;5089;5048
Carroll;County;16805;16671;15387;15163
Cass;County;13437;13691;13642;13579
Champaign;County;173025;179687;201081;201685
Christian;County;34418;35380;34800;34865
Clark;County;15921;16995;16335;16161
Clay;County;14460;14417;13815;13728
Clinton;County;33944;35536;37762;37956
Coles;County;51644;53210;53873;53916
