Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Putnam;County;33819;34722;34499;34294
Richland;County;126137;128932;124475;123510
Ross;County;69330;73382;78064;78249
Sandusky;County;61963;61797;60944;60734
Scioto;County;80327;79215;79499;79277
Seneca;County;59733;58663;56745;56469
Shelby;County;44915;48292;49423;49307
Stark;County;367585;378144;375586;375087
Summit;County;514990;542849;541781;539832
Trumbull;County;227795;225105;210312;209264
Tuscarawas;County;84090;90919;92582;92508
Union;County;31969;40975;52300;52764
Van Wert;County;30464;29654;28744;28601
Vinton;County;11098;12809;13435;13367
Warren;County;113973;159551;212693;214910
Washington;County;62254;63242;61778;61755
Wayne;County;101461;111562;114520;114611
Williams;County;36956;39189;37642;37597
Wood;County;113269;121072;125488;126355
Wyandot;County;22254;22897;22615;22692
Oklahoma;Federal State;3145576;3450451;3751351;3791508
Adair;County;18421;21009;22683;22612
Alfalfa;County;6416;6092;5642;5662
Atoka;County;12778;13876;14182;14206
Beaver;County;6023;5832;5636;5624
Beckham;County;18812;19807;22119;22288
Blaine;County;11470;11965;11943;9780
Bryan;County;32089;36524;42416;43089
Caddo;County;29550;30146;29600;29537
Canadian;County;74409;87729;115541;119492
Carter;County;42919;45614;47557;48096
Cherokee;County;34049;42475;46987;47845
Choctaw;County;15302;15334;15205;15250
Cimarron;County;3301;3139;2475;2487
Cleveland;County;174253;208036;255755;261281
Coal;County;5780;6035;5925;5928
Comanche;County;111486;114996;124098;125815
Cotton;County;6651;6603;6193;6179
Craig;County;14104;14951;15029;15073
Creek;County;60915;67340;69967;70467
Custer;County;26897;26147;27469;27750
Delaware;County;28070;36949;41487;41633
Dewey;County;5551;4740;4810;4867
Ellis;County;4497;4063;4151;4051
Garfield;County;56735;57811;60580;60670
Garvin;County;26605;27216;27576;27452
Grady;County;41747;45476;52431;53020
Grant;County;5689;5144;4527;4585
Greer;County;6559;6061;6239;6125
Harmon;County;3793;3285;2922;2919
Harper;County;4063;3558;3685;3695
Haskell;County;10940;11778;12769;12810
Hughes;County;13014;14150;14003;13843
Jackson;County;28764;28439;26446;26447
Jefferson;County;7010;6820;6472;6506
Johnston;County;10032;10512;10957;11139
Kay;County;48056;48086;46562;46159
Kingfisher;County;13212;13932;15034;15213
Kiowa;County;11347;10225;9446;9416
Latimer;County;10333;10689;11154;11155
Le Flore;County;43270;48099;50384;50628
Lincoln;County;29216;32070;34273;34155
Logan;County;29011;33911;41848;42499
Love;County;7788;8826;9423;9386
Major;County;8055;7545;7527;7657
Marshall;County;10829;13131;15840;16049
Mayes;County;33366;38339;41259;41389
McClain;County;22795;27750;34506;35235
McCurtain;County;33433;34384;33151;33195
McIntosh;County;16779;19405;20252;20360
Murray;County;12042;12617;13488;13571
Muskogee;County;68078;69471;70990;71003
Noble;County;11045;11406;11561;11578
Nowata;County;9992;10564;10536;10629
Okfuskee;County;11551;11808;12191;12348
Oklahoma;County;599611;660581;718633;732371
Okmulgee;County;36490;39672;40069;39937
Osage;County;41645;44413;47472;47425
Ottawa;County;30561;33164;31848;31860
Pawnee;County;15575;16610;16577;16730
Payne;County;61507;68201;77350;77988
Pittsburg;County;40950;43944;45837;45625
Pontotoc;County;34119;35146;37492;37799
Pottawatomie;County;58760;65505;69442;70280
Pushmataha;County;10997;11660;11572;11478
Roger Mills;County;4147;3432;3647;3702
Rogers;County;55170;70649;86905;87706
Seminole;County;25412;24966;25482;25292
Sequoyah;County;33828;38952;42391;42341
Stephens;County;42299;43204;45048;45197
Texas;County;16419;20098;20640;21312
Tillman;County;10384;9285;7992;8061
Tulsa;County;503341;563475;603403;610599
Wagoner;County;47883;57476;73085;74098
Washington;County;48066;49015;50976;51476
Washita;County;11441;11510;11629;11574
Woods;County;9103;9094;8878;8775
Woodward;County;18976;18489;20081;20034
Oregon;Federal State;2842337;3421524;3831074;3871859
Baker;County;15317;16742;16134;15984
Benton;County;70811;78143;85579;85928
Clackamas;County;278850;338407;375992;380207
Clatsop;County;33301;35634;37039;37153
Columbia;County;37557;43553;49351;49402
Coos;County;60273;62795;63043;62791
Crook;County;14111;19175;20978;20839
Curry;County;19327;21147;22364;22426
Deschutes;County;74976;115372;157733;160338
Douglas;County;94649;100375;107667;107490
Gilliam;County;1717;1910;1871;1937
Grant;County;7853;7934;7445;7410
Harney;County;7060;7606;7422;7373
Hood River;County;16903;20407;22346;22493
Jackson;County;146387;181281;203206;204822
Jefferson;County;13676;18995;21720;21771
Josephine;County;62649;75729;82713;82987
Klamath;County;57702;63771;66380;66299
Lake;County;7186;7421;7895;7908
Lane;County;282912;323011;351715;353416
Lincoln;County;38889;44481;46034;45933
Linn;County;91227;103079;116672;118122
Malheur;County;26038;31618;31313;31068
Marion;County;228483;284844;315335;318872
Morrow;County;7625;10995;11173;11169
Multnomah;County;583887;660602;735334;748031
Polk;County;49541;62412;75403;75993
Sherman;County;1918;1934;1765;1718
Tillamook;County;21570;24264;25250;25403
Umatilla;County;59249;70556;75889;76725
Union;County;23598;24522;25748;25791
Wallowa;County;6911;7230;7008;6990
Wasco;County;21683;23797;25213;25234
Washington;County;311554;445256;529710;540410
Wheeler;County;1396;1551;1441;1426
Yamhill;County;65551;84975;99193;100000
Pennsylvania;Federal State;11882842;12280548;12702379;12742886
Adams;County;78274;91207;101407;101434
Allegheny;County;1336449;1281795;1223348;1227066
Armstrong;County;73478;72345;68941;68568
Beaver;County;186093;181448;170539;170414
Bedford;County;47919;49890;49762;49739
Berks;County;336523;373712;411442;412778
Blair;County;130542;129105;127089;127099
Bradford;County;60967;62747;62622;62917
Bucks;County;541174;597548;625249;626854
Butler;County;152013;174105;183862;184848
Cambria;County;163062;152555;143679;143728
Cameron;County;5913;5971;5085;5010
Carbon;County;56803;58765;65249;65154
Centre;County;124812;135678;153990;154722
Chester;County;376389;433208;498886;503897
Clarion;County;41699;41739;39988;40013
Clearfield;County;78097;83529;81642;81445
Clinton;County;37182;37879;39238;39208
Columbia;County;63202;63947;67295;67476
Crawford;County;86166;90352;88765;88740
Cumberland;County;195257;213605;235406;237892
Dauphin;County;237813;251770;268100;268977
Delaware;County;547658;551722;558979;559494
Elk;County;34878;35114;31946;31751
Erie;County;275575;280907;280566;280985
Fayette;County;145351;148536;136606;136097
Forest;County;4802;4948;7716;7589
Franklin;County;121082;129495;149618;150811
Fulton;County;13837;14259;14845;14801
Greene;County;39550;40626;38686;38623
Huntingdon;County;44164;45613;45913;45875
Indiana;County;89994;89593;88880;89298
Jefferson;County;46083;45915;45200;44976
Juniata;County;20625;22814;24636;24400
Lackawanna;County;219097;213292;214437;214166
Lancaster;County;422822;470783;519445;523594
Lawrence;County;96246;94567;91108;90535
Lebanon;County;113744;120202;133568;134311
Lehigh;County;291130;311746;349497;352947
Luzerne;County;328149;319429;320918;320651
Lycoming;County;118710;120003;116111;116747
McKean;County;47131;45908;43450;43222
Mercer;County;121003;120368;116638;116205
Mifflin;County;46197;46471;46682;46858
Monroe;County;95681;138615;169842;169882
Montgomery;County;678193;749409;799874;804210
Montour;County;17735;18234;18267;18296
Northampton;County;247110;267446;297735;298476
Northumberland;County;96771;94867;94528;94558
Perry;County;41172;43636;45969;46042
Philadelphia;County;1585577;1517562;1526006;1536471
Pike;County;28032;46125;57369;56852
Potter;County;16717;18082;17457;17453
Schuylkill;County;152585;150263;148289;147513
Snyder;County;36680;37506;39702;39819
Somerset;County;78218;80047;77742;77405
Sullivan;County;6104;6561;6428;6479
Susquehanna;County;40380;42225;43356;43192
Tioga;County;41126;41346;41981;42419
Union;County;36176;41583;44947;44847
Venango;County;59381;57500;54984;54683
Warren;County;45050;43784;41815;41441
Washington;County;204584;203014;207820;208282
Wayne;County;39944;47679;52822;53004
Westmoreland;County;370321;369990;365169;364471
Wyoming;County;28076;28072;28276;28406
York;County;339574;381791;434972;436770
Rhode Island;Federal State;1003464;1048259;1052567;1051302
Bristol;County;48859;50653;49875;49800
Kent;County;161143;167220;166158;165535
Newport;County;87194;85442;82888;82695
Providence;County;596270;621404;626667;626709
Washington;County;109998;123540;126979;126563
South Carolina;Federal State;3486310;4012023;4625364;4679230
Abbeville;County;23862;26153;25417;25161
Aiken;County;120991;142556;160099;160682
Allendale;County;11727;11199;10419;10181
Anderson;County;145177;165734;187126;188488
Bamberg;County;16902;16704;15987;15975
Barnwell;County;20293;23491;22621;22358
Beaufort;County;86425;120931;162233;164684
Berkeley;County;128658;142747;177843;183525
Calhoun;County;12753;15132;15175;15145
Charleston;County;295159;309921;350209;357704
Cherokee;County;44506;52532;55342;55540
Chester;County;32170;34112;33140;32916
Chesterfield;County;38575;42765;46734;46557
Clarendon;County;28450;32460;34971;34726
Colleton;County;34377;38259;38892;38611
Darlington;County;61851;67444;68681;68299
Dillon;County;29114;30735;32062;31758
Dorchester;County;83060;96353;136555;140892
Edgefield;County;18360;24588;26985;26670
Fairfield;County;22295;23388;23956;23571
Florence;County;114344;125709;136885;137862
Georgetown;County;46302;55823;60158;59991
Greenville;County;320127;379648;451225;461299
Greenwood;County;59567;66309;69661;69835
Hampton;County;18186;21373;21090;20821
Horry;County;144053;196558;269291;276340
Jasper;County;15487;20672;24777;25195
Kershaw;County;43599;52649;61697;62273
Lancaster;County;54516;61404;76652;77908
Laurens;County;58132;69407;66537;66528
Lee;County;18437;20089;19220;18976
Lexington;County;167526;216031;262391;267129
Marion;County;33899;35475;33062;32846
Marlboro;County;29716;28820;28933;28509
McCormick;County;8868;9934;10233;10035
Newberry;County;33172;35979;37508;37721
Oconee;County;57494;66199;74273;74418
Orangeburg;County;84804;91511;92501;91910
Pickens;County;93896;110755;119224;119574
Richland;County;286321;320836;384504;389116
Saluda;County;16441;19180;19875;19882
Spartanburg;County;226793;253957;284307;286868
Sumter;County;101276;104687;107456;107460
Union;County;30337;29939;28961;28679
Williamsburg;County;36815;37219;34423;34084
York;County;131497;164656;226073;230528
South Dakota;Federal State;696004;754858;814180;824082
Aurora;County;3135;3051;2710;2694
Beadle;County;18253;17027;17398;17550
Bennett;County;3206;3572;3431;3441
Bon Homme;County;7089;7262;7070;6983
Brookings;County;25207;28233;31965;32226
Brown;County;35580;35468;36531;36822
Brule;County;5485;5362;5255;5283
Buffalo;County;1759;2032;1912;1988
Butte;County;7914;9093;10110;10259
Campbell;County;1965;1782;1466;1427
Charles Mix;County;9131;9350;9129;9208
Clark;County;4403;4143;3691;3628
Clay;County;13186;13538;13864;14051
Codington;County;22698;25909;27227;27442
Corson;County;4195;4177;4050;4022
Custer;County;6179;7268;8216;8338
Davison;County;17503;18743;19504;19651
Day;County;6978;6246;5710;5741
Deuel;County;4522;4498;4364;4359
Dewey;County;5523;5972;5301;5421
Douglas;County;3746;3456;3002;2972
Edmunds;County;4356;4367;4071;4056
Fall River;County;7353;7453;7094;6981
Faulk;County;2744;2640;2364;2367
Grant;County;8372;7845;7356;7250
Gregory;County;5359;4790;4271;4216
Haakon;County;2624;2196;1937;1907
Hamlin;County;4974;5530;5903;5978
Hand;County;4272;3741;3431;3423
Hanson;County;2994;3144;3331;3376
Harding;County;1669;1353;1255;1269
Hughes;County;14817;16483;17022;17292
Hutchinson;County;8262;8074;7343;7257
Hyde;County;1696;1671;1420;1394
Jackson;County;2811;2929;3031;3169
Jerauld;County;2425;2286;2071;2085
Jones;County;1324;1193;1006;1003
Kingsbury;County;5925;5815;5148;5179
Lake;County;10550;11270;11200;11567
Lawrence;County;20655;21805;24097;24312
Lincoln;County;15427;24158;44828;46793
Lyman;County;3638;3899;3755;3806
Marshall;County;4844;4578;4656;4597
McCook;County;5688;5825;5618;5556
McPherson;County;3228;2904;2459;2452
Meade;County;21878;24230;25434;25546
Mellette;County;2137;2083;2048;2067
Miner;County;3272;2836;2389;2359
Minnehaha;County;123809;148321;169468;171752
Moody;County;6507;6586;6486;6475
Pennington;County;81343;88619;100948;102815
Perkins;County;3932;3368;2982;3001
Potter;County;3190;2693;2329;2364
Roberts;County;9914;10013;10149;10286
Sanborn;County;2833;2676;2355;2392
Shannon;County;9902;12466;13586;13928
Spink;County;7981;7452;6415;6470
Stanley;County;2453;2772;2966;3002
Sully;County;1589;1553;1373;1375
Todd;County;8352;9050;9612;9822
Tripp;County;6924;6434;5644;5615
Turner;County;8576;8847;8347;8332
Union;County;10189;12583;14399;14651
Walworth;County;6087;5969;5438;5575
Yankton;County;19252;21657;22438;22612
Ziebach;County;2220;2519;2801;2852
Tennessee;Federal State;4877203;5689427;6346105;6403353
Anderson;County;68250;71470;75129;75233
Bedford;County;30411;37608;45058;45509
Benton;County;14524;16534;16489;16430
Bledsoe;County;9669;12349;12876;12865
Blount;County;85962;105824;123010;123901
Bradley;County;73712;87973;98963;100055
Campbell;County;35079;39839;40716;40512
Cannon;County;10467;12836;13801;13761
Carroll;County;27514;29446;28522;28457
Carter;County;51505;56731;57424;57185
Cheatham;County;27140;35843;39105;39078
Chester;County;12819;15540;17131;17141
Claiborne;County;26137;29861;32213;32172
Clay;County;7238;7960;7861;7761
Cocke;County;29141;33548;35662;35544
Coffee;County;40343;48052;52796;53016
Crockett;County;13378;14529;14586;14553
Cumberland;County;34736;46781;56053;56632
Davidson;County;510786;569927;626681;635475
Decatur;County;10472;11711;11757;11687
DeKalb;County;14360;17413;18723;18854
Dickson;County;35061;43152;49666;50081
Dyer;County;34854;37284;38335;38192
Fayette;County;25559;28799;38413;38513
Fentress;County;14669;16615;17959;18020
Franklin;County;34923;39258;41052;40917
Gibson;County;46315;48092;49683;49935
Giles;County;25741;29433;29485;29387
Grainger;County;17095;20610;22657;22766
Greene;County;55832;62911;68831;69339
Grundy;County;13362;14322;13703;13545
Hamblen;County;50480;58136;62544;63062
Hamilton;County;285536;308115;336463;340855
Hancock;County;6739;6776;6819;6737
Hardeman;County;23377;28108;27253;26834
Hardin;County;22633;25589;26026;25874
Hawkins;County;44565;53582;56833;56671
Haywood;County;19437;19790;18787;18470
Henderson;County;21844;25526;27769;27912
Henry;County;27888;31112;32330;32352
Hickman;County;16754;22311;24690;24406
Houston;County;7018;8079;8426;8333
Humphreys;County;15813;17932;18538;18470
Jackson;County;9297;10987;11638;11371
Jefferson;County;33016;44308;51407;51666
Johnson;County;13766;17513;18244;18231
Knox;County;335749;381884;432226;436929
Lake;County;7129;7951;7832;7779
Lauderdale;County;23491;27134;27815;27748
Lawrence;County;35303;39910;41869;42115
Lewis;County;9247;11389;12161;12142
Lincoln;County;28157;31346;33361;33431
Loudon;County;31255;39086;48556;49237
Macon;County;15906;20407;22248;22485
Madison;County;77982;91900;98294;98255
Marion;County;24683;27765;28237;28223
Marshall;County;21539;26761;30617;30881
Maury;County;54812;69542;80956;81509
McMinn;County;42383;49011;52266;52508
McNairy;County;22422;24644;26075;26094
Meigs;County;8033;11052;11753;11737
Monroe;County;30541;38969;44519;44882
Montgomery;County;100498;134725;172331;176619
Moore;County;4696;5698;6362;6411
Morgan;County;17300;19754;21987;21838
Obion;County;31717;32470;31807;31790
Overton;County;17636;20124;22083;22169
Perry;County;6612;7608;7915;7898
Pickett;County;4548;4941;5077;5122
Polk;County;13643;16039;16825;16779
Putnam;County;51373;62315;72321;72958
Rhea;County;24344;28398;31809;32079
Roane;County;47227;51921;54181;53838
Robertson;County;41492;54430;66283;67106
Rutherford;County;118570;182029;262604;268921
Scott;County;18358;21129;22228;22160
Sequatchie;County;8863;11262;14112;14346
Sevier;County;51050;71200;89889;91466
Shelby;County;826330;897466;927644;935088
Smith;County;14143;17708;19166;19150
Stewart;County;9479;12369;13324;13186
Sullivan;County;143596;153089;156823;157419
Sumner;County;103281;130528;160645;163686
Tipton;County;37568;51309;61081;61293
Trousdale;County;5920;7256;7870;7816
Unicoi;County;16549;17666;18313;18280
Union;County;13694;17843;19109;19200
Van Buren;County;4846;5505;5548;5483
Warren;County;32992;38275;39839;39927
Washington;County;92336;107188;122979;124353
Wayne;County;13935;16817;17021;16951
Weakley;County;31972;34917;35021;34980
White;County;20090;23139;25841;26149
Williamson;County;81021;126649;183182;188560
Wilson;County;67675;88794;113993;116617
Texas;Federal State;16986335;20851028;25145561;25674681
Anderson;County;48024;55114;58458;58308
Andrews;County;14338;13002;14786;15445
Angelina;County;69884;80123;86771;87669
Aransas;County;17892;22457;23158;23374
Archer;County;7973;8904;9054;8842
Armstrong;County;2021;2153;1901;1928
Atascosa;County;30533;38564;44911;45579
Austin;County;19832;23586;28417;28665
Bailey;County;7064;6593;7165;7247
Bandera;County;10562;17589;20485;20538
Bastrop;County;38263;57702;74171;75115
Baylor;County;4385;4091;3726;3741
Bee;County;25135;32347;31861;32095
Bell;County;191073;238000;310235;315196
Bexar;County;1185394;1393035;1714773;1756153
Blanco;County;5972;8436;10497;10600
Borden;County;799;729;641;626
Bosque;County;15125;17188;18212;18306
Bowie;County;81665;89296;92565;92793
Brazoria;County;191707;241805;313166;319973
Brazos;County;121862;152436;194851;197632
Brewster;County;8653;8872;9232;9386
Briscoe;County;1971;1805;1637;1651
Brooks;County;8204;7980;7223;7222
Brown;County;34371;37668;38106;38186
Burleson;County;13625;16449;17187;17251
Burnet;County;22677;34188;42750;43117
Caldwell;County;26392;32101;38066;38442
Calhoun;County;19053;20645;21381;21442
Callahan;County;11859;12873;13544;13515
Cameron;County;260120;334884;406220;414123
Camp;County;9904;11533;12401;12407
Carson;County;6576;6503;6182;6259
Cass;County;29982;30427;30464;30256
Castro;County;9070;8276;8062;8116
Chambers;County;20088;26006;35096;35552
Cherokee;County;41049;46716;50845;51140
Childress;County;5953;7697;7041;6984
Clay;County;10024;10997;10752;10721
Cochran;County;4377;3724;3127;3109
Coke;County;3424;3865;3320;3305
Coleman;County;9710;9232;8895;8763
Collin;County;264036;491272;782341;812226
Collingsworth;County;3573;3206;3057;3092
Colorado;County;18383;20356;20874;20816
Comal;County;51832;78022;108472;111963
Comanche;County;13381;14027;13974;13891
Concho;County;3044;3964;4087;4081
Cooke;County;30777;36370;38437;38396
Coryell;County;64226;74899;75388;76508
Cottle;County;2247;1899;1505;1499
Crane;County;4652;3996;4375;4383
Crockett;County;4078;4099;3719;3722
Crosby;County;7304;7072;6059;6092
Culberson;County;3407;2979;2398;2383
Dallam;County;5461;6213;6703;6866
Dallas;County;1852691;2216808;2368139;2416014
Dawson;County;14349;14987;13833;13751
Deaf Smith;County;19153;18565;19372;19595
Delta;County;4857;5319;5231;5212
Denton;County;273644;433065;662614;686406
DeWitt;County;18840;19999;20097;20255
Dickens;County;2571;2760;2444;2402
Dimmit;County;10433;10205;9996;10118
Donley;County;3696;3814;3677;3651
Duval;County;12918;13073;11782;11669
Eastland;County;18488;18289;18583;18633
Ector;County;118934;121124;137130;140111
Edwards;County;2266;2160;2002;1966
Ellis;County;85167;111415;149610;152753
El Paso;County;591610;679568;800647;820790
Erath;County;27991;32981;37890;38266
Falls;County;17712;18563;17866;17944
Fannin;County;24804;31225;33915;33958
Fayette;County;20095;21818;24554;24732
Fisher;County;4842;4345;3974;3914
Floyd;County;8497;7770;6446;6394
Foard;County;1794;1621;1336;1341
Fort Bend;County;225421;354286;585375;606953
Franklin;County;7802;9431;10605;10551
Freestone;County;15818;17851;19816;19684
Frio;County;13472;16255;17217;17400
Gaines;County;14123;14463;17526;18003
Galveston;County;217396;250178;291309;295747
Garza;County;5143;4876;6461;6562
Gillespie;County;17204;20806;24837;25114
Glasscock;County;1447;1413;1226;1251
Goliad;County;5980;6923;7210;7243
Gonzales;County;17205;18601;19807;19904
Gray;County;23967;22742;22535;22755
Grayson;County;95019;110574;120877;121419
Gregg;County;104948;111328;121730;123081
Grimes;County;18843;23544;26604;26887
Guadalupe;County;64873;88856;131533;135757
Hale;County;34671;36605;36273;36498
Hall;County;3905;3782;3353;3377
Hamilton;County;7733;8226;8517;8472
Hansford;County;5848;5369;5613;5577
Hardeman;County;5283;4723;4139;4176
Hardin;County;41320;48075;54635;55246
Harris;County;2818101;3401139;4092459;4180894
Harrison;County;57483;62096;65631;66296
Hartley;County;3634;5538;6062;5971
Haskell;County;6820;6091;5899;5989
Hays;County;65614;97918;157107;164050
Hemphill;County;3720;3353;3807;3970
Henderson;County;58543;73105;78532;78826
Hidalgo;County;383545;569099;774769;797810
Hill;County;27146;32301;35089;35392
Hockley;County;24199;22719;22935;22892
Hood;County;28981;40987;51182;51670
Hopkins;County;28833;31960;35161;35371
Houston;County;21375;23148;23732;23484
Howard;County;32343;33630;35012;35122
Hudspeth;County;2915;3349;3476;3423
Hunt;County;64343;76562;86129;86531
Hutchinson;County;25689;23864;22150;22132
Irion;County;1629;1765;1599;1620
Jack;County;6981;8751;9044;9035
Jackson;County;13039;14387;14075;14032
Jasper;County;31102;35552;35710;36296
Jeff Davis;County;1946;2207;2342;2288
Jefferson;County;239389;251968;252273;252802
Jim Hogg;County;5109;5283;5300;5265
Jim Wells;County;37679;39344;40838;41339
Johnson;County;97165;126622;150934;152734
Jones;County;16490;20794;20202;20146
Karnes;County;12455;15438;14824;14946
Kaufman;County;52220;71452;103350;105358
Kendall;County;14589;23793;33410;34781
Kenedy;County;460;414;416;437
Kent;County;1010;859;808;825
Kerr;County;36304;43646;49625;49783
Kimble;County;4122;4461;4607;4632
King;County;354;356;286;255
Kinney;County;3119;3375;3598;3630
Kleberg;County;30274;31610;32061;32196
Knox;County;4837;4253;3719;3758
Lamar;County;43949;48491;49793;50074
Lamb;County;15072;14713;13977;14167
Lampasas;County;13521;17827;19677;19891
La Salle;County;5254;5863;6886;7001
Lavaca;County;18690;19217;19263;19347
Lee;County;12854;15650;16612;16666
Leon;County;12665;15307;16801;16916
Liberty;County;52726;70196;75643;76206
Limestone;County;20946;22050;23384;23634
Lipscomb;County;3143;3050;3302;3327
Live Oak;County;9556;12262;11531;11447
Llano;County;11631;16996;19301;19181
Loving;County;107;67;82;94
Lubbock;County;222636;242644;278831;283910
Lynn;County;6758;6547;5915;5888
Madison;County;10931;12945;13664;13747
Marion;County;9984;10939;10546;10507
Martin;County;4956;4746;4799;4934
Mason;County;3423;3735;4012;3984
Matagorda;County;36928;37919;36702;36809
Maverick;County;36378;47285;54258;55405
McCulloch;County;8778;8203;8283;8290
McLennan;County;189123;213525;234906;238564
McMullen;County;817;847;707;690
Medina;County;27312;39318;46006;46367
Menard;County;2252;2357;2242;2264
Midland;County;106611;116034;136872;140308
Milam;County;22946;24235;24757;24699
Mills;County;4531;5143;4936;4848
Mitchell;County;8016;9696;9403;9426
Montague;County;17274;19108;19719;19710
Montgomery;County;182201;293779;455746;471734
Moore;County;17865;20123;21904;21954
Morris;County;13200;13043;12934;12848
Motley;County;1532;1421;1210;1230
Nacogdoches;County;54753;59197;64524;65466
Navarro;County;39926;45113;47735;48054
Newton;County;13569;15054;14445;14454
Nolan;County;16594;15805;15216;15269
Nueces;County;291145;313512;340223;343281
Ochiltree;County;9128;9001;10223;10530
Oldham;County;2278;2183;2052;2074
Orange;County;80509;85033;81837;82487
Palo Pinto;County;25055;27015;28111;28115
Panola;County;22035;22759;23796;24058
Parker;County;64785;88429;116927;118376
Parmer;County;9863;10008;10269;10332
Pecos;County;14675;16793;15507;15716
Polk;County;30687;41152;45413;45725
Potter;County;97841;113655;121073;122285
Presidio;County;6637;7304;7818;7761
Rains;County;6715;9128;10914;11059
Randall;County;89673;104176;120725;123351
Reagan;County;4514;3325;3367;3390
Real;County;2412;3046;3309;3426
Red River;County;14317;14314;12860;12703
Reeves;County;15852;13141;13783;13757
Refugio;County;7976;7830;7383;7291
Roberts;County;1025;887;929;816
Robertson;County;15511;15972;16622;16740
Rockwall;County;25604;43023;78337;81290
Runnels;County;11294;11473;10501;10524
Rusk;County;43735;47410;53330;53759
Sabine;County;9586;10400;10834;10740
San Augustine;County;7999;8939;8865;8874
San Jacinto;County;16372;22211;26384;26801
San Patricio;County;58749;67273;64804;64726
San Saba;County;5401;6185;6131;6023
Schleicher;County;2990;2934;3461;3309
Scurry;County;18634;16366;16921;16919
Shackelford;County;3316;3302;3378;3318
Shelby;County;22034;25215;25448;25772
Sherman;County;2858;3184;3034;3040
Smith;County;151309;174861;209714;213381
Somervell;County;5360;6913;8490;8451
Starr;County;40518;53573;60968;61715
Stephens;County;9010;9676;9630;9548
Sterling;County;1438;1393;1143;1158
Stonewall;County;2013;1691;1490;1472
Sutton;County;4135;4073;4128;4007
Swisher;County;8133;8369;7854;7801
Tarrant;County;1170103;1449290;1809034;1849815
Taylor;County;119655;126606;131506;132755
Terrell;County;1410;1081;984;960
Terry;County;13218;12757;12651;12675
Throckmorton;County;1880;1847;1641;1609
Titus;County;24009;28118;32334;32596
Tom Green;County;98458;104015;110224;111823
Travis;County;576407;811776;1024266;1063130
Trinity;County;11445;13748;14585;14659
Tyler;County;16646;20842;21766;21666
Upshur;County;31370;35308;39309;39826
Upton;County;4447;3408;3355;3346
Uvalde;County;23340;25919;26405;26535
Val Verde;County;38721;44834;48879;49106
Van Zandt;County;37944;48129;52579;52776
Victoria;County;74361;84077;86793;87545
Walker;County;50917;61757;67861;68087
Waller;County;23374;32545;43205;44013
Ward;County;13115;10909;10658;10716
Washington;County;26154;30412;33718;33791
Webb;County;133239;193124;250304;256496
Wharton;County;39955;41191;41280;41314
Wheeler;County;5879;5289;5410;5465
Wichita;County;122378;131695;131500;130698
Wilbarger;County;15121;14679;13535;13404
Willacy;County;17705;20079;22134;22095
Williamson;County;139551;250466;422679;442782
Wilson;County;22650;32401;42918;43789
Winkler;County;8626;7173;7110;7178
Wise;County;34679;48789;59127;59833
Wood;County;29380;36729;41964;42164
Yoakum;County;8786;7325;7879;8005
Young;County;18126;17872;18550;18484
Zapata;County;9279;12081;14018;14282
Zavala;County;12162;11645;11677;11849
Utah;Federal State;1722850;2233183;2763885;2817222
Beaver;County;4765;5997;6629;6594
Box Elder;County;36485;42755;49975;50290
Cache;County;70183;91389;112656;114699
Carbon;County;20228;20531;21403;21318
Daggett;County;690;918;1059;1156
Davis;County;187941;238997;306479;311811
Duchesne;County;12645;14432;18607;18888
Emery;County;10332;10859;10976;10944
Garfield;County;3980;4733;5172;5144
Grand;County;6620;8407;9225;9325
Iron;County;20789;33793;46163;46740
Juab;County;5817;8236;10246;10335
Kane;County;5169;6056;7125;7257
Millard;County;11333;12405;12503;12645
Morgan;County;5528;7132;9469;9685
Piute;County;1277;1437;1556;1497
Rich;County;1725;1961;2264;2303
Salt Lake;County;725956;898429;1029655;1048985
San Juan;County;12621;14389;14746;14825
Sanpete;County;16259;22722;27822;27988
Sevier;County;15431;18840;20802;20971
Summit;County;15518;29746;36324;37594
Tooele;County;26601;40740;58218;59326
Uintah;County;22211;25174;32588;33163
Utah;County;263590;368539;516564;530499
Wasatch;County;10089;15206;23530;24417
Washington;County;48560;90325;138115;141666
Wayne;County;2177;2509;2778;2737
Weber;County;158330;196526;231236;234420
Vermont;Federal State;562758;608613;625741;626431
Addison;County;32953;35963;36821;36742
Bennington;County;35845;36969;37125;36970
Caledonia;County;27846;29606;31227;31166
Chittenden;County;131761;146615;156545;157491
Essex;County;6405;6450;6306;6291
Franklin;County;39980;45395;47746;48113
Grand Isle;County;5318;6885;6970;6931
Lamoille;County;19735;23225;24475;24701
Orange;County;26149;28314;28936;29006
Orleans;County;24053;26275;27231;27173
Rutland;County;62142;63386;61642;61289
Washington;County;54928;58034;59534;59626
Windham;County;41588;44112;44513;44266
Windsor;County;54055;57384;56670;56666
Virginia;Federal State;6189197;7079057;8001024;8096604
Accomack;County;31703;38301;33164;33336
Albemarle;County;68177;83024;98970;100553
Alexandria;City;111183;128278;139966;144301
Alleghany;County;17494;17235;16250;16175
Amelia;County;8787;11378;12690;12805
Amherst;County;28578;31888;32353;32167
Appomattox;County;12300;13703;14973;15041
Arlington;County;170895;189211;207627;216004
Augusta;County;54557;65385;73750;73549
Bath;County;4799;5040;4731;4657
